물품,토큰,계약금액,계약일
예술체육대학 운동건강학부 재료(3M Prep Tape),['재료'],220000,2018-10-12
건설환경공학전공 실험실습재료,"['전공', '실험', '실습', '재료']",200000,2018-10-12
2018-2 생활원 제1기숙사 중간고사 기간 격려 행사 물품,"['생활', '기숙사', '중간고사', '기간', '격려', '행사', '물품']",750000,2018-10-12
디지탈소음측정기,"['디지탈', '소음', '측정기']",187000,2018-10-12
2018학년도 2학기 학점은행제 수업 용품,"['학년', '학기', '학점은행제', '수업', '용품']",1681000,2018-10-12
예술체육대학 조형예술학부 옹기토(실험실습비),"['옹기', '실험', '실습']",266000,2018-10-12
도시공학과 실험실습재료,"['실험', '실습', '재료']",1381000,2018-10-12
교무과 학사행정을 위한 자동증명발급기용 소모품,"['교무', '학사', '행정', '자동증', '발급', '기용', '소모품']",424000,2018-10-12
2018-2 생활원 제2기숙사 중간고사 기간 격려 행사 물품,"['생활', '기숙사', '중간고사', '기간', '격려', '행사', '물품']",750000,2018-10-12
2019학년도 수시모집 10월 면접고사에 따른 물품,"['학년', '수시', '모집', '면접', '고사', '물품']",880300,2018-10-12
예술체육대학 조형예술학부 장지 외 4종(실험실습비),"['장지', '실험', '실습']",1188000,2018-10-15
예술체육대학 조형예술학부 사군자붓 외 1종(실험실습비),"['사군자', '실험', '실습']",1105000,2018-10-15
예술체육대학 조형예술학부 수시정물 및 모델복장(입시경비),"['수시', '정물', '모델', '복장', '입시', '경비']",1319930,2018-10-15
예술체육대학 조형예술학부 옥당지(입시경비),"['옥당', '입시', '경비']",69300,2018-10-15
(생명공학전공)소모품(수정테이프 외 16종),"['소모품', '수정', '테이프']",165360,2018-10-15
2018년도 INU 한마음체육행사 소모품(기념 타월),"['한마음', '체육', '행사', '소모품', '기념', '타월']",3600000,2018-10-15
컴퓨터공학부 2018년 교육용기자재(안드로이드모바일실습장비),"['교육', '용기', '자재', '안드로이드', '모바일', '실습', '장비']",3800000,2018-10-15
예술체육대학 조형예술학부 켄트지(입시경비),"['켄트지', '입시', '경비']",108000,2018-10-15
스포츠센터 소모품(청소용품),"['스포츠', '센터', '소모품', '청소', '용품']",1391500,2018-10-15
도시과학연구원 사무용품,"['도시과학', '연구원', '사무', '용품']",191951,2018-10-15
스포츠센터 소모품(청소용품),"['스포츠', '센터', '소모품', '청소', '용품']",1391500,2018-10-15
예술체육대학 조형예술학부 수시정물 및 모델복장(입시경비),"['수시', '정물', '모델', '복장', '입시', '경비']",1319930,2018-10-15
예술체육대학 조형예술학부 장지 외 4종(실험실습비),"['장지', '실험', '실습']",1188000,2018-10-15
도시과학연구원 사무용품,"['도시과학', '연구원', '사무', '용품']",191951,2018-10-15
예술체육대학 조형예술학부 옥당지(입시경비),"['옥당', '입시', '경비']",69300,2018-10-15
예술체육대학 조형예술학부 켄트지(입시경비),"['켄트지', '입시', '경비']",108000,2018-10-15
(생명공학전공)소모품(수정테이프 외 16종),"['소모품', '수정', '테이프']",165360,2018-10-15
2018년도 INU 한마음체육행사 소모품(기념 타월),"['한마음', '체육', '행사', '소모품', '기념', '타월']",3600000,2018-10-15
예술체육대학 조형예술학부 사군자붓 외 1종(실험실습비),"['사군자', '실험', '실습']",1105000,2018-10-15
[비자산구매]정보통신공학과 실험실습재료(Mini DP외 5종),"['비자', '구매', '실험', '실습', '재료']",477900,2018-10-16
2019학년도 입학전형 관련 대형레이저프린터 소모품,"['학년', '입학', '전형', '관련', '대형', '레이저', '프린터', '소모품']",2248400,2018-10-16
융합과학기술원 계산용 서버 등,"['융합', '과학기술원', '계산', '서버']",96800000,2018-10-16
예술체육대학 조형예술학부 반코팅장갑 외 14종(소모품비),"['코팅', '장갑', '소모품']",347570,2018-10-16
[비자산구매]정보통신공학과 실험실습재료(아두이노케이블외 6종),"['비자', '구매', '실험', '실습', '재료', '아두이노', '케이블']",96250,2018-10-16
예술체육대학 조형예술학부 수채화용지 외 9종(실험실습비),"['수채화', '용지', '실험', '실습']",2116000,2018-10-16
2019학년도 입학전형 관련 대형레이저프린터 소모품,"['학년', '입학', '전형', '관련', '대형', '레이저', '프린터', '소모품']",2248400,2018-10-16
[비자산구매]정보통신공학과 실험실습재료(Mini DP외 5종),"['비자', '구매', '실험', '실습', '재료']",477900,2018-10-16
예술체육대학 조형예술학부 반코팅장갑 외 14종(소모품비),"['코팅', '장갑', '소모품']",347570,2018-10-16
2019학년도 수시모집 실기고사 물품,"['학년', '수시', '모집', '실기', '고사', '물품']",712550,2018-10-16
[비자산구매]정보통신공학과 실험실습재료(아두이노케이블외 6종),"['비자', '구매', '실험', '실습', '재료', '아두이노', '케이블']",96250,2018-10-16
예술체육대학 조형예술학부 수채화용지 외 9종(실험실습비),"['수채화', '용지', '실험', '실습']",2116000,2018-10-16
2019학년도 수시모집 실기고사 물품,"['학년', '수시', '모집', '실기', '고사', '물품']",712550,2018-10-16
국비(성과관리사업비) 전자공학과 교육용기자재(고속카메라),"['국비', '성과', '관리', '사업', '교육', '용기', '자재', '고속', '카메라']",34700000,2018-10-16
글로벌융합대학사업단 사무용품,"['글로벌', '융합', '대학', '사업', '사무', '용품']",135424,2018-10-17
2019학년도 전기 특별전형에 따른 입시 사무용품,"['학년', '전기', '특별', '전형', '입시', '사무', '용품']",308235,2018-10-17
연구혁신팀 물품,"['연구', '혁신', '물품']",120000,2018-10-17
(생명공학전공)실험실습재료(꽃게),"['실험', '실습', '재료', '꽃게']",45580,2018-10-17
도서관 정수기 종이컵,"['도서관', '정수기', '종이컵']",220000,2018-10-17
도서관 정수기 종이컵,"['도서관', '정수기', '종이컵']",220000,2018-10-17
2019학년도 전기 특별전형에 따른 입시 사무용품,"['학년', '전기', '특별', '전형', '입시', '사무', '용품']",308235,2018-10-17
연구혁신팀 물품,"['연구', '혁신', '물품']",120000,2018-10-17
(생명공학전공)실험실습재료(꽃게),"['실험', '실습', '재료', '꽃게']",45580,2018-10-17
글로벌융합대학사업단 사무용품,"['글로벌', '융합', '대학', '사업', '사무', '용품']",135424,2018-10-17
(기계공학과) 소모품,['소모품'],43000,2018-10-18
예술체육대학 운동건강학부 재료(트램폴린),"['재료', '트램폴린']",675000,2018-10-18
(기계공학과) 소모품,['소모품'],43000,2018-10-18
예술체육대학 운동건강학부 재료(미카사 배구공),"['재료', '미카사', '배구공']",350000,2018-10-18
예술체육대학 운동건강학부 재료(스타 배구공),"['재료', '스타', '배구공']",275000,2018-10-18
예술체육대학 운동건강학부 재료(스타 배구공),"['재료', '스타', '배구공']",275000,2018-10-18
예술체육대학 운동건강학부 재료(미카사 배구공),"['재료', '미카사', '배구공']",350000,2018-10-18
감사실 소모품,"['사실', '소모품']",310000,2018-10-19
무역학부 2018년도 교육용 비품,"['교육', '비품']",8600000,2018-10-19
감사실 소모품,"['사실', '소모품']",310000,2018-10-19
2018 불어불문학과 교육용기자재,"['교육', '용기', '자재']",3360000,2018-10-19
[비자산구매]정보통신공학과 실험실습재료(전도성코팅제 1종),"['비자', '구매', '실험', '실습', '재료', '전도성', '코팅']",127600,2018-10-20
[비자산구매]정보통신공학과 실험실습재료(전도성코팅제 1종),"['비자', '구매', '실험', '실습', '재료', '전도성', '코팅']",127600,2018-10-20
인쇄실 운영 소모품(인쇄용지),"['인쇄', '운영', '소모품', '인쇄', '용지']",885000,2018-10-22
비상차도 바닥재(화강석판석),"['비상', '차도', '바닥재', '화강석', '판석']",1565190,2018-10-22
인쇄실 운영 소모품(인쇄용지),"['인쇄', '운영', '소모품', '인쇄', '용지']",885000,2018-10-22
비상차도 바닥재(화강석판석),"['비상', '차도', '바닥재', '화강석', '판석']",1565190,2018-10-22
도시과학연구원의 우수인력유치를 위한 설명회 관련 연변대학 방문 항공권,"['도시과학', '연구원', '우수', '인력', '유치', '설명', '관련', '연변', '대학', '방문', '항공권']",3575500,2018-10-23
예술체육대학 운동건강학부 재료(클라이밍 장비),"['재료', '장비']",5290000,2018-10-23
국비(성과관리사업)산업경영공학과 교육용기자재(태블릿),"['국비', '성과', '관리', '사업', '교육', '용기', '자재', '태블릿']",2796000,2018-10-23
스포츠센터 수영장 10월 소독약,"['스포츠', '센터', '수영장', '소독약']",770000,2018-10-23
스포츠센터 수영장 10월 소독약,"['스포츠', '센터', '수영장', '소독약']",770000,2018-10-23
조경 및 영선업무 소모품,"['조경', '영선', '업무', '소모품']",1903770,2018-10-24
사범대학 유아교육과 실험실습재료,"['실험', '실습', '재료']",16000,2018-10-24
2019학년도 수시모집 10월 실기고사에 따른 물품,"['학년', '수시', '모집', '실기', '고사', '물품']",900000,2018-10-24
INU어학센터 행정사무실 운영을 위한 소모품,"['어학', '센터', '행정', '사무실', '운영', '소모품']",439000,2018-10-24
2018학년도 정치외교학과 교육용기가재(복사기),"['학년', '교육', '용기', '가재', '복사기']",6100000,2018-10-24
조경 및 영선업무 소모품,"['조경', '영선', '업무', '소모품']",1903770,2018-10-24
(생명과학부)소모품(다기능발신자전화기 외 6종),"['소모품', '기능', '발신', '전화기']",110860,2018-10-24
(교비) 신소재공학과 교육용기자재(시편연마기),"['교비', '교육', '용기', '자재', '시편', '마기']",2850000,2018-10-24
2019학년도 수시모집 10월 실기고사에 따른 물품,"['학년', '수시', '모집', '실기', '고사', '물품']",900000,2018-10-24
(교비) 신소재공학과 교육용기자재(Planetary Ball Mill),"['교비', '교육', '용기', '자재']",18960000,2018-10-24
사범대학 유아교육과 실험실습재료,"['실험', '실습', '재료']",16000,2018-10-24
INU어학센터 행정사무실 운영을 위한 소모품,"['어학', '센터', '행정', '사무실', '운영', '소모품']",439000,2018-10-24
대관 시설물 행사지원 소모품,"['대관', '시설', '행사', '지원', '소모품']",798800,2018-10-24
대관 시설물 행사지원 소모품,"['대관', '시설', '행사', '지원', '소모품']",798800,2018-10-24
(생명과학부)소모품(다기능발신자전화기 외 6종),"['소모품', '기능', '발신', '전화기']",110860,2018-10-24
무역학부 2018년도 교육용 기자재,"['교육', '자재']",10500000,2018-10-24
재무회계팀 부서운영 소모품,"['재무회계', '부서', '운영', '소모품']",195140,2018-10-25
2019학년도 수시모집 10월 실기고사에 따른 생수,"['학년', '수시', '모집', '실기', '고사', '생수']",145000,2018-10-25
교육혁신센터 사무용품,"['교육', '혁신', '센터', '사무', '용품']",222400,2018-10-25
2019학년도 수시모집 10월 실기고사에 따른 생수,"['학년', '수시', '모집', '실기', '고사', '생수']",145000,2018-10-25
교육혁신센터 사무용품,"['교육', '혁신', '센터', '사무', '용품']",222400,2018-10-25
재무회계팀 부서운영 소모품,"['재무회계', '부서', '운영', '소모품']",195140,2018-10-25
통신시설물 유지관리용 소모품,"['통신', '시설', '유지관리', '소모품']",2975800,2018-10-26
(디에스피)사업단 실험실습기자재,"['에스', '사업', '실험실', '습기', '자재']",11000000,2018-10-26
예술체육대학 조형예술학부 배접지(실험실습비),"['배접', '실험', '실습']",136400,2018-10-26
문화자치위원회 소모품,"['문화', '자치', '위원회', '소모품']",58200,2018-10-26
문화자치위원회 소모품,"['문화', '자치', '위원회', '소모품']",58200,2018-10-26
통신시설물 유지관리용 소모품,"['통신', '시설', '유지관리', '소모품']",2975800,2018-10-26
(교비) 신소재공학과 교육용기자재(노트북PC),"['교비', '교육', '용기', '자재', '노트북']",1918000,2018-10-26
예술체육대학 조형예술학부 배접지(실험실습비),"['배접', '실험', '실습']",136400,2018-10-26
대학원 학사업무 및 학생지도에 필요한 프린터 토너,"['대학원', '학사', '업무', '학생', '지도', '프린터', '토너']",360000,2018-10-29
대학원 학사업무 및 학생지도에 필요한 프린터 토너,"['대학원', '학사', '업무', '학생', '지도', '프린터', '토너']",360000,2018-10-29
송도캠퍼스 승강기 노후부품 교체용 소모품,"['송도', '캠퍼스', '승강기', '노후', '부품', '교체', '소모품']",671000,2018-10-30
연구혁신팀 물품,"['연구', '혁신', '물품']",6000,2018-10-30
2019년도 정책대학원 최고관리자과정 제41기 신입생 모집에 따른 홍보기념품(티스푼셋트),"['정책', '대학원', '최고', '관리자', '과정', '신입생', '모집', '홍보', '기념품', '티스푼', '셋트']",2960000,2018-10-30
연구혁신팀 물품,"['연구', '혁신', '물품']",240000,2018-10-30
2019년도 정책대학원 최고관리자과정 제41기 신입생 모집에 따른 홍보기념품(티스푼셋트),"['정책', '대학원', '최고', '관리자', '과정', '신입생', '모집', '홍보', '기념품', '티스푼', '셋트']",2960000,2018-10-30
연구혁신팀 물품,"['연구', '혁신', '물품']",6000,2018-10-30
송도캠퍼스 승강기 노후부품 교체용 소모품,"['송도', '캠퍼스', '승강기', '노후', '부품', '교체', '소모품']",671000,2018-10-30
연구혁신팀 물품,"['연구', '혁신', '물품']",240000,2018-10-30
부서 운영 소모품,"['부서', '운영', '소모품']",185800,2018-10-31
2018년 단과대학 학생회 지원에 따른 사범대학 학생회 비품,"['단과대학', '학생회', '지원', '학생회', '비품']",1888720,2018-10-31
사범대학 체육교육과 실험실습재료,"['실험', '실습', '재료']",38500,2018-10-31
홍보대사 동계코트,"['홍보', '대사', '동계', '코트']",4633200,2018-10-31
2018년 단과대학 학생회 지원에 따른 사범대학 학생회 비품,"['단과대학', '학생회', '지원', '학생회', '비품']",1888720,2018-10-31
홍보대사 동계코트,"['홍보', '대사', '동계', '코트']",4633200,2018-10-31
부서 운영 소모품,"['부서', '운영', '소모품']",185800,2018-10-31
사범대학 체육교육과 실험실습재료,"['실험', '실습', '재료']",38500,2018-10-31
성과관리인증센터 사무용품,"['성과', '관리', '인증', '센터', '사무', '용품']",239240,2018-11-01
미추홀캠퍼스 승강기 노후부품 교체용 소모품,"['미추홀', '캠퍼스', '승강기', '노후', '부품', '교체', '소모품']",694100,2018-11-01
(본부)사회봉사센터 INU학생사회공헌단 단복(인너),"['본부', '사회', '봉사', '센터', '학생', '사회', '단복', '인너']",565950,2018-11-01
(본부)사회봉사센터 INU학생사회공헌단 단복(외투),"['본부', '사회', '봉사', '센터', '학생', '사회', '단복', '외투']",1829480,2018-11-01
입학관리과 부서 운영을 위한 소모품,"['입학', '관리', '부서', '운영', '소모품']",35650,2018-11-01
성과관리인증센터 사무용품,"['성과', '관리', '인증', '센터', '사무', '용품']",239240,2018-11-01
(본부)사회봉사센터 INU학생사회공헌단 단복(인너),"['본부', '사회', '봉사', '센터', '학생', '사회', '단복', '인너']",565950,2018-11-01
미추홀캠퍼스 승강기 노후부품 교체용 소모품,"['미추홀', '캠퍼스', '승강기', '노후', '부품', '교체', '소모품']",694100,2018-11-01
입학관리과 부서 운영을 위한 소모품,"['입학', '관리', '부서', '운영', '소모품']",35650,2018-11-01
(본부)사회봉사센터 INU학생사회공헌단 단복(외투),"['본부', '사회', '봉사', '센터', '학생', '사회', '단복', '외투']",1829480,2018-11-01
기초교육원 수업용 소모품,"['수업', '소모품']",225150,2018-11-02
자료정리용품,"['자료', '정리', '용품']",1202000,2018-11-02
기초교육원 수업용 소모품,"['수업', '소모품']",225150,2018-11-02
대학신문사 소모품,"['대학', '신문사', '소모품']",567600,2018-11-02
자료정리용품,"['자료', '정리', '용품']",1202000,2018-11-02
대학신문사 소모품,"['대학', '신문사', '소모품']",567600,2018-11-02
조경수목 월동자재,"['수목', '월동', '자재']",5056230,2018-11-05
국제지원팀 홍보기념품,"['국제', '지원', '홍보', '기념품']",7322940,2018-11-05
기자대기실 소모품(프린터토너),"['기자', '대기실', '소모품', '프린터', '토너']",165000,2018-11-05
입학관리과 부서 운영을 위한 소모품,"['입학', '관리', '부서', '운영', '소모품']",50900,2018-11-05
"대학 이미지 홍보 소모품(복사지,전산용품)","['대학', '이미지', '홍보', '소모품', '복사', '전산', '용품']",171950,2018-11-05
영어영문학과 수업용 재료비 - 토너,"['수업', '재료', '토너']",2055710,2018-11-05
생활원 제2기숙사 공용비품,"['생활', '기숙사', '공용', '비품']",7996800,2018-11-05
영어영문학과 수업용 재료비 - 토너,"['수업', '재료', '토너']",2055710,2018-11-05
기자대기실 소모품(프린터토너),"['기자', '대기실', '소모품', '프린터', '토너']",165000,2018-11-05
조경수목 월동자재,"['수목', '월동', '자재']",5056230,2018-11-05
국제지원팀 홍보기념품,"['국제', '지원', '홍보', '기념품']",7322940,2018-11-05
입학관리과 부서 운영을 위한 소모품,"['입학', '관리', '부서', '운영', '소모품']",50900,2018-11-05
"대학 이미지 홍보 소모품(복사지,전산용품)","['대학', '이미지', '홍보', '소모품', '복사', '전산', '용품']",171950,2018-11-05
정보기술대학 홍보용 기념품,"['홍보', '기념품']",2920000,2018-11-06
정보기술대학 홍보용 기념품,"['홍보', '기념품']",2920000,2018-11-06
창의융합교육센터 사무용품(소모품),"['창의', '융합', '교육', '센터', '사무', '용품', '소모품']",239260,2018-11-06
창의융합교육센터 사무용품(소모품),"['창의', '융합', '교육', '센터', '사무', '용품', '소모품']",239260,2018-11-06
연구혁신팀 물품,"['연구', '혁신', '물품']",43680,2018-11-07
예술체육대학 조형예술학부 판화지 외 2종(실험실습비),"['판화', '실험', '실습']",347500,2018-11-07
AV시스템내 전자교탁 유지보수용 부품,"['시스템', '전자', '교탁', '유지', '보수', '부품']",16170000,2018-11-07
홍보 기념품,"['홍보', '기념품']",8900000,2018-11-07
공연예술학과 재료(노트북 가방 외 10종),"['재료', '노트북', '가방']",346700,2018-11-07
생활원 게스트하우스 소모품,"['생활', '게스트하우스', '소모품']",242600,2018-11-07
융합과학기술원 복합기 토너,"['융합', '과학기술원', '복합기', '토너']",220000,2018-11-07
글로벌융합대학사업단 사무용품,"['글로벌', '융합', '대학', '사업', '사무', '용품']",402200,2018-11-07
한국어학당 비자심사과정을 위한 사무용품,"['한국어', '학당', '비자', '심사', '과정', '사무', '용품']",86000,2018-11-07
융합과학기술원 복합기 토너,"['융합', '과학기술원', '복합기', '토너']",220000,2018-11-07
예술체육대학 조형예술학부 Photo Rag 외 1종(실험실습비),"['실험', '실습']",920000,2018-11-07
예술체육대학 조형예술학부 판화지 외 2종(실험실습비),"['판화', '실험', '실습']",347500,2018-11-07
예술체육대학 조형예술학부 Photo Rag 외 1종(실험실습비),"['실험', '실습']",920000,2018-11-07
글로벌융합대학사업단 사무용품,"['글로벌', '융합', '대학', '사업', '사무', '용품']",593000,2018-11-07
글로벌융합대학사업단 사무용품,"['글로벌', '융합', '대학', '사업', '사무', '용품']",402200,2018-11-07
AV시스템내 전자교탁 유지보수용 부품,"['시스템', '전자', '교탁', '유지', '보수', '부품']",16170000,2018-11-07
홍보 기념품,"['홍보', '기념품']",8900000,2018-11-07
생활원 게스트하우스 소모품,"['생활', '게스트하우스', '소모품']",242600,2018-11-07
공연예술학과 재료(노트북 가방 외 10종),"['재료', '노트북', '가방']",346700,2018-11-07
한국어학당 비자심사과정을 위한 사무용품,"['한국어', '학당', '비자', '심사', '과정', '사무', '용품']",86000,2018-11-07
연구혁신팀 물품,"['연구', '혁신', '물품']",43680,2018-11-07
생활원 제2기숙사 저출력심장충격기,"['생활', '기숙사', '출력', '심장', '충격']",2780000,2018-11-07
글로벌융합대학사업단 사무용품,"['글로벌', '융합', '대학', '사업', '사무', '용품']",593000,2018-11-07
2019학년도 수시모집 11월 학생부종합전형 면접고사 운영에 따른 사무용품,"['학년', '수시', '모집', '학생', '종합', '전형', '면접', '고사', '운영', '사무', '용품']",128100,2018-11-08
제3회 아마추어 여자축구 클럽대회 물품,"['아마추어', '여자', '축구', '클럽', '대회', '물품']",495000,2018-11-08
2019학년도 수시모집 11월 학생부종합전형 면접고사 운영에 따른 물품,"['학년', '수시', '모집', '학생', '종합', '전형', '면접', '고사', '운영', '물품']",2772000,2018-11-08
2019학년도 수시모집 11월 학생부종합전형 면접고사 운영에 따른 사무용품,"['학년', '수시', '모집', '학생', '종합', '전형', '면접', '고사', '운영', '사무', '용품']",128100,2018-11-08
재무회계팀 부서운영 이동식 파티션,"['재무회계', '부서', '운영', '이동식', '파티션']",372000,2018-11-08
2019학년도 수시모집 11월 학생부종합전형 면접고사 운영에 따른 물품,"['학년', '수시', '모집', '학생', '종합', '전형', '면접', '고사', '운영', '물품']",2772000,2018-11-08
제3회 아마추어 여자축구 클럽대회 물품,"['아마추어', '여자', '축구', '클럽', '대회', '물품']",495000,2018-11-08
실험실 동파 방지 난방유,"['실험실', '동파', '방지', '난방']",411600,2018-11-08
실험실 동파 방지 난방유,"['실험실', '동파', '방지', '난방']",411600,2018-11-08
(기계공학과) 소모품,['소모품'],471360,2018-11-09
연수송도경영자협의회 상호협력 구축에 따른 홍보기념품,"['수송', '경영', '협의', '상호', '협력', '구축', '홍보', '기념품']",1050000,2018-11-09
대학 이미지 홍보 소모품(휴대폰충전기),"['대학', '이미지', '홍보', '소모품', '휴대폰', '충전기']",72000,2018-11-09
사무용품,"['사무', '용품']",80400,2018-11-09
(기계공학과) 소모품,['소모품'],528800,2018-11-09
(기계공학과) 소모품,['소모품'],471360,2018-11-09
공기조화설비 에어필터 제작,"['공기조화', '설비', '에어', '필터', '제작']",15000000,2018-11-09
사회과학대학 사무용품,"['사무', '용품']",888720,2018-11-09
공기조화설비 에어필터 제작,"['공기조화', '설비', '에어', '필터', '제작']",15000000,2018-11-09
사회과학대학 사무용품,"['사무', '용품']",888720,2018-11-09
조경관리 마사토(흙),"['관리', '마사토']",957000,2018-11-09
조경관리 마사토(흙),"['관리', '마사토']",957000,2018-11-09
(기계공학과) 소모품,['소모품'],528800,2018-11-09
사무용품,"['사무', '용품']",80400,2018-11-09
대학 이미지 홍보 소모품(휴대폰충전기),"['대학', '이미지', '홍보', '소모품', '휴대폰', '충전기']",72000,2018-11-09
연수송도경영자협의회 상호협력 구축에 따른 홍보기념품,"['수송', '경영', '협의', '상호', '협력', '구축', '홍보', '기념품']",1050000,2018-11-09
환경공학전공 실험실습재료,"['전공', '실험', '실습', '재료']",240900,2018-11-11
환경공학전공 실험실습재료,"['전공', '실험', '실습', '재료']",240900,2018-11-11
도시공학과 실험실습재료,"['실험', '실습', '재료']",2919300,2018-11-12
예술체육대학 조형예술학부 Eco FineArt용지 외 1종(실험실습비),"['용지', '실험', '실습']",770000,2018-11-12
평생교육원 홍보 기념품,"['평생교육', '홍보', '기념품']",3285000,2018-11-12
이중봉투,"['이중', '봉투']",150000,2018-11-12
평생교육원 홍보 기념품,"['평생교육', '홍보', '기념품']",3285000,2018-11-12
도시공학과 실험실습재료,"['실험', '실습', '재료']",2919300,2018-11-12
이중봉투,"['이중', '봉투']",150000,2018-11-12
예술체육대학 조형예술학부 Eco FineArt용지 외 1종(실험실습비),"['용지', '실험', '실습']",770000,2018-11-12
K-MOOC 사업진행을 위한 소모품,"['사업', '진행', '소모품']",504750,2018-11-13
[비자산구매]정보통신공학과 실험실습재료(배터리외 5종),"['비자', '구매', '실험', '실습', '재료', '배터리']",703500,2018-11-13
2019학년도 수시모집 실기고사 물품 추가,"['학년', '수시', '모집', '실기', '고사', '물품', '추가']",157460,2018-11-13
놀이센터 및 세미나실 소모품,"['놀이', '센터', '세미나', '소모품']",313720,2018-11-13
(생명공학전공)실험실습재료(Sequencing),"['실험', '실습', '재료']",11000,2018-11-13
[비자산구매]정보통신공학과 실험실습재료(배터리외 5종),"['비자', '구매', '실험', '실습', '재료', '배터리']",703500,2018-11-13
부서운영 물품,"['부서', '운영', '물품']",28790,2018-11-13
K-MOOC 사업진행을 위한 소모품,"['사업', '진행', '소모품']",504750,2018-11-13
사무용 소모품,"['무용', '소모품']",225160,2018-11-13
2019학년도 수시모집 실기고사 물품 추가,"['학년', '수시', '모집', '실기', '고사', '물품', '추가']",157460,2018-11-13
도서관 정수기 종이컵,"['도서관', '정수기', '종이컵']",220000,2018-11-13
(나노바이오전공)소모품(라벨지외 3종),"['소모품', '라벨']",313100,2018-11-13
(생명공학전공)실험실습재료(Sequencing),"['실험', '실습', '재료']",11000,2018-11-13
놀이센터 및 세미나실 소모품,"['놀이', '센터', '세미나', '소모품']",313720,2018-11-13
사무용 소모품,"['무용', '소모품']",225160,2018-11-13
(자연과학대학) 학생복지요구안에 따른 비품(로비용의자),"['학생', '복지', '구안', '비품', '로비', '용의자']",1190000,2018-11-13
(나노바이오전공)소모품(라벨지외 3종),"['소모품', '라벨']",313100,2018-11-13
도서관 정수기 종이컵,"['도서관', '정수기', '종이컵']",220000,2018-11-13
부서운영 물품,"['부서', '운영', '물품']",28790,2018-11-13
이러닝 사업 운영 물품,"['이러닝', '사업', '운영', '물품']",317480,2018-11-14
재무회계팀 문서세단기,"['재무회계', '단기']",730000,2018-11-14
이러닝 사업 운영 물품,"['이러닝', '사업', '운영', '물품']",317480,2018-11-14
예술체육대학 조형예술학부 컷팅매트 외 1종(소모품비),"['컷팅', '매트', '소모품']",198000,2018-11-14
총장 비서실 비품,"['총장', '비서실', '비품']",1822000,2018-11-14
총장 비서실 비품,"['총장', '비서실', '비품']",1804000,2018-11-14
예술체육대학 조형예술학부 컷팅매트 외 1종(소모품비),"['컷팅', '매트', '소모품']",198000,2018-11-14
(기계공학과) 소모품,['소모품'],130000,2018-11-15
전임교원 공개채용 진행을 위한 소모품,"['전임', '교원', '공개', '채용', '진행', '소모품']",398600,2018-11-15
(기계공학과) 소모품,['소모품'],130000,2018-11-15
도시공학과 실험실습재료,"['실험', '실습', '재료']",1080000,2018-11-15
전임교원 공개채용 진행을 위한 소모품,"['전임', '교원', '공개', '채용', '진행', '소모품']",398600,2018-11-15
복사용지,"['복사', '용지']",360000,2018-11-15
복사용지,"['복사', '용지']",360000,2018-11-15
도시공학과 실험실습재료,"['실험', '실습', '재료']",1080000,2018-11-15
재무회계팀 부서운영 소모품,"['재무회계', '부서', '운영', '소모품']",234460,2018-11-16
(생명공학전공)실험실습재료(유정란),"['실험', '실습', '재료', '유정']",31000,2018-11-16
예술체육대학 조형예술학부 중성펜 외 77종(실험실습비),"['중성', '실험', '실습']",2844170,2018-11-16
"2018-2 생활원 제1,2기숙사 사랑의 김장나눔 행사 홍보물품","['생활', '기숙사', '사랑', '김장', '나눔', '행사', '홍보', '물품']",120000,2018-11-16
건설환경공학전공 실험실습재료,"['전공', '실험', '실습', '재료']",286740,2018-11-16
"2018-2 생활원 제1,2기숙사 사랑의 김장나눔 행사 용품","['생활', '기숙사', '사랑', '김장', '나눔', '행사', '용품']",591000,2018-11-16
(생명공학전공)실험실습재료(ICR),"['실험', '실습', '재료']",70000,2018-11-16
예술체육대학 조형예술학부 황모필 외 1종(실험실습비),"['모필', '실험', '실습']",715000,2018-11-16
생활원 게스트하우스 전기기구,"['생활', '게스트하우스', '전기', '기구']",751500,2018-11-16
(생명공학전공)실험실습재료(유정란),"['실험', '실습', '재료', '유정']",31000,2018-11-16
예술체육대학 조형예술학부 중성펜 외 77종(실험실습비),"['중성', '실험', '실습']",2844170,2018-11-16
예술체육대학 조형예술학부 절단석 외 4종(소모품비),"['절단석', '소모품']",363100,2018-11-16
건설환경공학전공 실험실습재료,"['전공', '실험', '실습', '재료']",286740,2018-11-16
예술체육대학 조형예술학부 절단석 외 4종(소모품비),"['절단석', '소모품']",363100,2018-11-16
예술체육대학 조형예술학부 EPSON SC-P600(소모품비),['소모품'],899000,2018-11-16
(생명공학전공)실험실습재료(ICR),"['실험', '실습', '재료']",70000,2018-11-16
예술체육대학 조형예술학부 오죽물아교 외 7종(실험실습비),"['오죽', '아교', '실험', '실습']",739200,2018-11-16
예술체육대학 조형예술학부 오죽물아교 외 7종(실험실습비),"['오죽', '아교', '실험', '실습']",739200,2018-11-16
예술체육대학 조형예술학부 황모필 외 1종(실험실습비),"['모필', '실험', '실습']",715000,2018-11-16
생활원 게스트하우스 전기기구,"['생활', '게스트하우스', '전기', '기구']",751500,2018-11-16
"2018-2 생활원 제1,2기숙사 사랑의 김장나눔 행사 홍보물품","['생활', '기숙사', '사랑', '김장', '나눔', '행사', '홍보', '물품']",120000,2018-11-16
